,Actor Name,Sentiment
0,A. K. Hangal,Surprise
1,Aamir Bashir,Neutral
2,Aamir Khan,Neutral
3,Aanjjan Srivastav,Neutral
4,Aasif Sheikh,Happy
5,Abhay Deol,Neutral
6,Abhay Mahajan,Happy
7,Abhishek Bachchan,No face found
8,Adil Hussain,Neutral
9,Aditya Pancholi,Sad
10,Aditya Roy Kapur,Happy
11,Aditya Seal,Happy
12,Aditya Shrivastava,Neutral
13,Aftab Shivdasani,Neutral
14,Ajay Devgn,Sad
15,Ajit,Sad
16,Akhilendra Mishra,Surprise
17,Akkineni Nagarjuna,Sad
18,Akshay Kumar,No face found
19,Akshaye Khanna,Neutral
20,Ali Fazal,Happy
21,Alok Nath,Neutral
22,Amitabh Bachchan,No face found
23,Amjad Khan,Sad
24,Amol Palekar,No face found
25,Amrinder Gill,No face found
26,Amrish Puri,No face found
27,Anang Desai,Neutral
28,Anil Kapoor,Happy
29,Annu Kapoor,Neutral
30,Anu Kapoor,Neutral
31,Anupam Kher,Neutral
32,Aparshakti Khurana,Happy
33,Arbaaz Khan,Happy
34,Arfi Lamba,No face found
35,Arif Zakaria,Neutral
36,Arjun Kapoor,Neutral
37,Arjun Rampal,Happy
38,Arshad Warsi,Happy
39,Arun Govil,Surprise
40,Ashish Vidyarthi,Happy
41,Ashok Kumar,No face found
42,Ashok Saraf,Happy
43,Ashutosh Rana,Happy
44,Asit Sen,Neutral
45,Asrani,Happy
46,Atul Agnihotri,Neutral
47,Atul Kulkarni,Happy
48,Avinash Tiwary,Neutral
49,Avtar Gill,Sad
50,Ayushman Khurrana,Happy
51,Balraj Sahni,Neutral
52,Barun Sobti,No face found
53,Bharat Bhushan,Sad
54,Bobby Deol,Happy
55,Boman Irani,Surprise
56,Brijendra Kala,No face found
57,Chandrachur Singh,Neutral
58,Chunky Pandey,Happy
59,Dalip Tahil,Neutral
60,Danny Denzongpa,Neutral
61,Dara Singh,Happy
62,Darshan Jariwala,Neutral
63,David,Sad
64,Daya Shankar Pandey,Happy
65,Dayanand Shetty,Neutral
66,Deepak Tijori,Happy
67,Dev Anand,No face found
68,Deven Verma,Neutral
69,Dharmesh Yelande,Happy
70,Dhumal,Happy
